Abort, إجهاض,
Abortive release, انقطاع (شبكي) مجهض,
Abscissa, فاصلة,
Absolute, مطلق(ة) (قيمة),
Absolute address, عنوان مطلق,
Absolute path, مسار مطلق,
Absolute pathname, اسم مسار مطلق,
Abstract, مجرَّد,
Abstract class, صنف مجرد,
Abstract data type, نوع بيانات مجرد,
Abstract datatype, نوع بيانات مجرد,
Abstract interpretation, تأويل مجرد,
Abstraction, تجريد,
Abstract machine, آلة مجردة,
Abstract method, طريقة مجردة,
Abstract syntax, بنية مجردة,
Abstract syntax tree, شجرة بنية مجردة,
Accelerator, مسرِّع,
Accent, حركة,
Accept, قبول,
Acceptance testing, اختبار القبول,
Access, نفاذ,
Access control list, قائمة التحكم بالنفاذ,
Accessibility, إتاحة,
Accessible, مُتَاح,
Access level, مستوى النفاذ,
Access memory, ذاكرة النفاذ,
Accessory, كمالي,
Access point, نقطة العبور,
Account, حساب,
Accounting management, تسيير الحسابات,
Accumulator, مركِّم,
Accuracy, دقة,
Acknowledgement, عرفان :: شكر,
Acquire, اكتساب,
Action, إجراء ::  تفعيل,
Activate, تنشيط ,
Active, نشِيط,
Activity, نشاط,
Actor, فاعل,
Actuator, مشغّل,
Adapt, تكييف,
Adapter, مكيف,
Adaptive answering, إجابة تكيفية,
Adaptive learning, تعلم تكييفي,
Adaptive routing, توجيه تكيفي,
Add, إضافة,
Add-in, مضاف,
Additional, إضافي,
Additive, انضمامي,
Address, عنوان,
Address book, دفتر عناوين,
Address bus, ناقل عناوين,
Addressee, مرسل إليه,
Addressing, عنونة,
Adjacency, تجاور,
Adjacent, مجاور,
Adjust, ضبط,
Admin, مدير,
Administration, إدارة,
Administrative, إداري,
Administrator, مدير,
Advance, تقدم,
Advanced, متقدم,
Affix, زائدة,
Agenda, مفكرة,
Agent, مفوّض,
Aggregate, مُجمَل,
Aggregate type, نوع مُجمَل,
Aggregation, تجميع,
Aggregator, مُجمِّع,
Aging, تقادم,
Agree, موافق,
Agreement, اتفاق,
Airbrush, مرذاذ صباغة,
Alarm, منبه,
Alarm clock, منبه,
Aleph, ألف,
Alert, تنبيه ::  إنذار,
Alert box, حوار التنبيه,
Algebraic data type, نوع بيانات جبري,
