English,French,German,Arabic
About %1,A propos de %1,Über %1,حول %1
Automatically Update Preview,Actualiser l'aperçu automatiquement,Vorschau automatisch aktualisieren,حدّث المعاينة آليًّا
Disable automatic updates of the preview to the current document content,Désactive l'actualisation automatique de l'aperçu sur le contenu du document courant,Deaktiviert die automatische Aktualisierung der Vorschau des Inhalts des aktuellen Dokuments,عطّل التحديث الآلي لمعاينة المحتويات المستند الحالي
Enable automatic updates of the preview to the current document content,Active l'actualisation automatique de l'aperçu sur le contenu du document courant,Aktiviert die automatische Aktualisierung der Vorschau des Inhalts des aktuellen Dokuments,مكن التحديث الآلي لمعاينة المحتويات المستند الحالي
Lock Current Document,Verrouiller le document actuel,Aktuelles Dokument sperren,اقفل المستند الحالي
Lock preview to current document,Verrouiller l'aperçu sur le document actuel,Vorschau des aktuellen Dokuments sperren,اقفل معاينة المستند الحالي
Manually Update Preview,Actualiser l'aperçu manuellement,Vorschau manuell aktualisieren,حدّث المعاينة يدويا
No preview available.,Aucun aperçu disponible.,Keine Vorschau verfügbar.,لا تتوفر معاينة
Preview,Aperçu,Vorschau,عاين
Unlock Current View,Déverrouiller la vue actuelle,Aktuelle Ansicht entsperren,ألغ قفل المنظور الحاليّ
Unlock current view,Déverrouiller la vue actuelle,Aktuelle Ansicht entsperren,ألغ قفل المنظور الحاليّ
Update Preview,Actualiser l'aperçu,Vorschau aktualisieren,حدث المعاينة
Update the preview to the current document content,Actualise l'aperçu sur le contenu du document courant,Aktualisiert die Vorschau des Inhalts des aktuellen Dokuments,حدّث معاينة المحتويات المستند الحالي
View,Affichage,Ansicht,العرض
