
Causes the screensaver to exit gracefully,Demande à l’économiseur d’écran de se fermer proprement,Veranlasst den Bildschirmschoner sanft zu beenden,يؤدي إلى شاشة التوقف للخروج بأمان
Checking...,Vérification...,Überprüfung läuft …,جاري التحقق...
Cinnamon Screensaver has experienced an error,Une erreur est survenue dans l’économiseur d’écran de Cinnamon,Beim Cinnamon-Bildschirmschoner ist ein Fehler aufgetreten,حافظ الشاشة الخاص ببيئة Cinnamon واجه خطأً
If the screensaver is active then deactivate it (un-blank the screen),"Si l’économiseur d’écran est actif, le désactiver (réaffiche l’écran)","Wenn der Bildschirmschoner aktiv ist, diesen deaktivieren (Abdunkelung aufheben)",إذا كانت شاشة التوقف نشطة، قم بإلغاء تنشيطها (الشاشة غير فارغة)
Incorrect password,Le mot de passe est erroné,Falsches Passwort,كلمة المرور غير صحيحة
Message to be displayed in lock screen,Message à afficher sur l’écran de verrouillage,Nachricht die auf dem Sperrbildschirm angezeigt wird,الرسالة ليتم عرضها في شاشة القفل
Please enter your password...,Saisissez votre mot de passe…,Bitte Ihr Passwort eingeben …,يرجى إدخال كلمة المرور الخاصة بك...
Query the length of time the screensaver has been active,Obtenir la durée d’activité de l’économiseur d'écran,Die Länge der Bildschirmschoneraktivität abfragen,الاستعلام عن المدة التي كانت فيها شاشة التوقف نشطة
Query the state of the screensaver,Obtenir l’état de l'économiseur d'écran,Den Status des Bildschirmschoners abfragen,الاستعلام عن حالة شاشة التوقف
Switch User,Changer d’utilisateur,Benutzer wechseln,تبديل المستخدم
Tells the running screensaver process to lock the screen immediately,Demande à l’économiseur d’écran de verrouiller l’écran immédiatement,"Teilt dem laufenden Bildschirm mit, den Bildschirm sofort zu sperren",أخبر تشغيل شاشة التوقف لقفل الشاشة على الفور
The screensaver is active,L’économiseur d’écran est actif,Der Bildschirmschoner ist aktiv,شاشة التوقف نشطة
The screensaver is inactive,L’économiseur d’écran est inactif,Der Bildschirmschoner ist inaktiv,شاشة التوقف غير نشطة
The screensaver is not currently active.,L'économiseur d'écran n'est pas actif actuellement.,Der Bildschirmschoner ist derzeit nicht aktiv.,شاشة التوقف ليست نشطة حاليا.
Turn the screensaver on (blank the screen),Activer l'économiseur d'écran (cache l’écran),Den Bildschirmschoner aktivieren (Bildschirm abdunkeln),تشغيل شاشة التوقف (الشاشة فارغة)
Unlock,Déverrouiller,Entsperren,إلغاء القفل
Version of this application,Version de cette application,Version dieser Anwendung,إصدار هذا التطبيق
You have the Caps Lock key on.,Les majuscules sont verrouillées.,Die Feststelltaste ist aktiviert.,مفتاح Caps Lock لديك يعمل.
