3-D Seismics,زلزاليات ثلاثية الأبعاد
807 production,إنتاج بحسب القانون 807
807A (Super 807),قانون 807
9802 production,إنتاج بحسب القانون9802
Abatement,تقليص
Absolute advantage,ميزة مطلقة
Absolute Zero,صفر مطلق
Absorption,امتزاز (امتصاص التصاقي)
Accelerating universe,كون متسارع
Acceleration,تسارع
Access,نفاذ
Accountability,حساب الأعمال
Accounting,علم تدوين الحسابات
Acquisition,تحصيل، اقتناء
Acquisition Logistics,إدارة الاقتناء
Action,إجراء
Activity (activities),نشاط (أنشطة)
Adamantine/ Diamondoid,شبيه الماس
Adaptive Maintenance,صيانة تكيفية
Adjustment,توافق
Adjustment costs,كلف التسوية
Administration,إدارة
Adult Stem Cell,خلية جذعية بالغة
Advanced,قبلي
Advanced Planning,تخطيط قبلي
Aerovore,ﺁكل الهواء
Agency,وكالة
Aggregate demand,طلب محتشد
Agile Manufacturing,تصنيع رشيق
Agnosticism,مذهب اللاأدرية
Agreements,اتفاقات
Aim(s),غاية (غايات)
Algebraic Geometry,هندسة جبرية
Align,حاذى
Alignment,محاذاة
Allocated Baseline,منطلق التشكيلة المقرة
Alzheimer,ألزهايمر
Ambient Intelligence,ذكاء محيط
American Petroleum Institute (API),معهد النفط الأميركي
Amplifier,مضخم
Amplitude,سعة
Analogous,تماثلي
Analogous Estimate,تخمين تماثلي
Analysis,تحليل
AND Logic Gate,بوابة قارن منطقية «و»
Android Robot,روبوت ذو شكل شبيه بالإنسان
Angular Velocity,سرعة زاوية
Antenna,هوائي
Anthropometric,مقاسات الأجسام البشرية
Antibiotic,مضاد حيوي
Anticline,طية محدبة
Anti-dumping duties,ضرائب ضد الإفراغ
Antimatter,مادة مضادة
Antiquark,كوارك مضاد
Apparel industry,صناعة اللباس
Apparel licensing,ترخيص اللباس
Apparel marketing,تسويق اللباس
Apparel merchandising,اتجار باللباس
Apparent consumption,استهلاك ظاهري
Apparent Position,موضع ظاهري
Approach,نهج
Architecture,بنيان
"Architecture, product",بنية المنتج
Arm's length trade,تجارة مباشرة
Aromatic Hydrocarbons,هيدروكاربونات عطرية
"Arrangement regarding international trade
in textile also known as Multifiber
Arrangement or MFA","اتفاق تجارة النسيج الدولية وتعرف أيضا باتفاق
الخيوط المتعددة الجوانب MFA "
Arthroscope,جهاز تنظير طبي
Arthroscopic Surgery,جارحة تنظيرية
Artificial fibers,خيوط اصطناعية
Artificial Intelligence,ذكاء اصطناعي
Assembly,كتلة مجمعة
Assessment,تقدير
Assignment,تكليف
Associated Gas,غاز مصاحب
Association,تعاونية
Associative Memory,ذاكرة مضمنة (في الحاسوب)
Astrocyte,خلية التام جرح نجمية
Astronomical Unit,وحدة فلكية
Astrophysics,فيزياء فلكية
Atom,ذرة
Atomic Force Microscope,مجهر القوة الذرية
Atomic Number,عدد ذري
Attitudes,مواقف
Authority,سلطة
Automate,أتمت
Automation,أتمتة
Autopilot,طيار ﺁلي
Availability,تيح، جهوزية
Availability/ Readiness,جهوزية
Axle,محور
Backups,احتياط
Backward integration,تكامل خلفي
Bahamas Rule,قاعدة الباهاما
Balance of trade,ميزان تجاري
Band gap,فجوة نطاق موجي
Bar Chart,مخطط قضباني
Bar Code,رماز قضباني
Barriers to entry,حواجز الدخول
Base Load,حمل أساسي (في شبكات الكهرباء)
Base Rock,قاعدة صخرية
Baseline,منطلق
Baseline Management,إدارة المنطلق
Basket extractor,ﺁلية السحب من السلة
Bearing,محمل
Behavior,سلوك
Benchmark,مرجع مقارنة
Benchmark Price,سعر إشارة (سعر مرجعي)
Benchmarking,مقارنة مرجعية
Bilateral agreements,اتفاقيات ثنائية
Binomial Distribution,توزع ثنائي
Bio Energy,طاقة حيوية
Biochip,رقاقة بايولوجية
Biodiversity,تنوع حيوي
Biomass,كتلة حيوية
Biomass,كتلة حيوية
Biomimetics,محاكاة بيولوجية
Bionics,بيونيات
Bioresonance,تناغم حيوي
Biosphere,بايوسفير/ محيط حيوي
Biotechnology,تكنولوجيا حيوية
Biotechnology,تكنولوجيا حيوية (بايوتكنولوجيا)
Biovore,ﺁكل الحيويات
Black Hole,ثقب أسود
Block,لبنة ، مؤطر، صندوق
Block Diagram,مخطط صندوقي
Blog/ Web Log,مدونة
Boiler,مرجل (غلاية)
Bond,ﺁصرة (اربطة)
Boolean Algebra,جبر بولياني
Bottom-up,صعودي
Bound State,حالة مقيدة
Boundary Layer,طبقة محاددة
Brainstorming,عصف دماغي/ تحريض أفكار
Breakdown,تجزئة
Breakeven Analysis,تحليل الربح والخسارة
Break-even time,زمن التعادل (بين الكلفة والعائدات)
Breakthrough(s),فتح (فتوح)
British Aerospace,مؤسسة الفضاء البريطانية
British Thermal Unit (BTU),وحدة حرارية بريطانية
Bucky Tube,أنبوب بكي
Bug,عثرة
Burden sharing,تقاسم العبء
Bureaucracy,بيروقارطية
Burn In,تشغيل إجهادي
Burn rate,معدل الحرق(يقصد به استهلاك الموازنة)
Burnout,استنفاد
Business,أعمال
Buying time,شراء الزمن
Buying-in,شراء
C.i.f. Values,قيم الكلفة والتأمين والشحن
Cable(s),كبل (كبال)
Call mechanism or consultation,ﺁلية النداء (أو ﺁلية الاستشارة)
Cam,أكرة
Cancer,سرطان
Cannibalization,"استخدام أجزاء من المنتج لترميم أو تنفيذ منتجات
جديدة"
Cap Rock,غطاء صخري
Capability,فعالية، مقدرة
"Capability Maturity Model Integration
(CMMI)",تكامل نموذج نضج الفعالية
Capacity,سعة، طاقة
Capacity utilization rate,معدل استعمال الإمكانية
Capita-intensive products,منتجات شديدة اعتماد على رأس المال
Capital,رأس مال
Capital deepening,تعميق رأس مال
Capitalism,رأسمالية
Capitalist economic systems,أنظمة اقتصادية رأسمالية
Capitalists,رأسماليون
Carbon Nano tubes,أنابيب نانوية كربونية
Cartesian Product,جداء ديكارتي
Casing,أنبوب تغليف (للبئر النفطي)
Castings,سكب
Catalysis,تحفيز
Catalyst,عامل حفاز
Catalytic Converter,محول حفاز
Category,فئة
Cause And Effect Diagram,مخطط السبب والمفعول
Cell,خلية
Cell Pluripotent,خلية متعددة الإمكانيات
Centrally planned,نظام التخطيط المركزي
Centrifugal Pump,مضخة نابذة عن المركز
Chain Reaction,تفاعل تسلسلي
Champion,بطل، ارئد
Change Control Board (CCB),لجنة ضبط التغيير
"Change, organizational",تغير تنظيمي
"Change, product",تغير بالمنتج
Channel control,ضبط القنوات
Channels of distribution,قنوات(سبل) التوزيع
Chaos Theory,نظرية الفوضى
Characteristic(s),خاصة، خاصية (خصائص، خواص)
Chatting,ثرثرة، تحادث
Check,تدقيق
Check list,قائمة تدقيق
Check out,فحص
Checks And Balances,رقابة متوازنة
Chemical Detectors,متحسس كيميائي
Chemotherapy,علاج كيميائي
Chip,رقاقة أو شريحة نصف ناقل
Chirality,لاناطباقية (في التركيب الكيميائي)
Circadian Rhythm,تواتر يومي (ساعة بايولوجية)
Circumvention,التفاف على القانون
Cloning,استنساخ حيوي(كلونة)
Closed economy (or market),اقتصاد مغلق (أو سوق مغلقة)
Closed Loop,حلقة مغلقة
Closed Loop System,نظام مغلق الحلقة
Code(s),رماز (أرمزة)
Cognitive,استعارفي
