Abortion,إجهاض
Absolute Pitch,سمع مطلق
Abstraction,تجريد
Abstraction Classes,فئات التجريد
Abstraction Principle,مبدأ التجريد
Abstruse Philosophy,فلسفة عويصة
Absurd,خلف
Absurdity,عبث/ خلف
Abyss,هاوية
Account: Voluntarist/ Epistemological,تفسير: إرادوي/ معرفي
Act of intending,فعل القصد/ فعل النية
Acuity,نظرة ثاقبة
Advantage,منفعة (فائدة / ميزة)
Aegis,رعاية/ حماية
"Affirmative Action/ Positive
Discrimination",تمييز إيجابي
Agency,صفة الفاعل
Agent,فاعل
Agreement,اتفاق
Algebraic formula,صيغة جبرية
Alike,عينه
Allogeneous,غير متجانس
Ambiguity,تأويل مزدوج
Analogy,تماثل/ قياس الشبه
Analyzing,حلل، يحلل
Android,إنسان ﺁلي
Antecedent,سابق
Anthology,مقتطفات أدبية مختارة
Anthropomorphism,تجسيم/ عزو الصفات البشرية إلى الأشياء
Antidote,ترياق مضاد للسم
Antipodes,"أجازء واقعة على الجهة المقابلة من الكرة الأرضية
/متقاطرين"
Appearance,مظهر أو تمظهر
Applying,تطبيق
Appropriate,قابل للاستعمال
Arbitrariness,اعتباط
Arbitrary,عسفي / تحكمي/ اعتباطي
Archetype,أنموذج أصلي
Archimedean Point,نقطة أرخميدية
Argument,"مكون/ دليل/ مناقشة برهانية أو برهان/ حجة/ حجاج
 
/دالة"
Argumentation,محاجة
Arithmetic,حسابة
Arithmetic Objects,مواضيع حسابية
Armchair,نظري(لاعملي)
Arrangement/Order,تسلسل ترتيبي
Arrangements,ترتيبات
Arrow Diagram,تخطيط بالأسهم
Articulate language,لغة منطوقة
Articulated,ممفصل
Ascension Form,صيغ المستويات
Askance,ارتياب/ استنكار
Aspect-Blindness,عمى المظاهر
Assent,تصديق
Assertion,إقرار
Assessment,تقييم/ تقدير القيمة
Assignment,إسناد
Assimilation,استيعاب/ تمثل
Association,جمعية/ علاقة تداع
Association of Ideas,تداعي أفكار
Assumption,مسلمة
Atmosphere,جو / سياق
Attempt,اختبار
Attribute (s),نعت/ صفة/ صفات
Auto psychological,نفسي ذاتي
Automata,كائنات ﺁلية
Autonomy,استقلال/ استقلالية
Auxiliary verb,فعل مساعد
Aviary,قفص كبير لحفظ الطيور
Axiom,بداهة
Axiomatic,فرضي استنتاجي (النسق أو المنهج)/ منهج بدهي
Background,خلفية
Bafflement,حيرة/ ارتباك
Balance,ميزان(توازن)
Basic Concept,مفهوم أساسي
Basic Elements,عناصر أساسية
Basic Goods,منافع أساسية
Basic Object,موضوع أساسي
Basic Relation,علاقة أساسية
Basic Science,علم أساسي
Basic State of Affairs,واقعة أساسية
Basic Structure (of Society),بنية قاعدية (للمجتمع)
Batch,دفعة/ كمية مطلوبة
Begging the Question,مصادرة على المطلوب
Behavior,سلوك
Behaviorist,سلوكي
Being,كائن/ موجود
Being and Holding,وجود وقيمة
Being determined,اقتضاء
Being in accord,توافق
Being/ Human: Rational - Moral,كائن/ كينونة: بشري- عقلاني - أخلاقي
Belief,اعتقاد
Benevolence,إيثار/ غيرية أو فعل الخير
Bewilderment,انذهال/ ارتباك
Biological Objects,مواضيع بيولوجية
Biped,ذو قدمين
Birthright,حق البكورية
