English,Arabic,URL
Activation Function,تابع التفعيل,https://aiinarabic.com/glossary/activation-function/
AdaDelta,خوارزمية ملاءمة معدّل التعلُّم (آدا دلتا),https://aiinarabic.com/glossary/adadelta/
AdaGrad,خوارزمية التدرج التكيفي (أدا جراد),https://aiinarabic.com/glossary/adagrad/
Adaptive Learning Rate Algorithms,خوارزميات مُلاءمة معدل التعلُّم,https://aiinarabic.com/glossary/adaptive-learning-rate-algorithms/
Adaptive Moment Estimation Algorithm (Adam),خُوارِزْميَّةُ توقُّعِ المُلاءمةِ اللَّحظِيَّةِ (آدم),https://aiinarabic.com/glossary/adaptive-moment-estimation-algorithm-adam/
Adversarial Learning Strategy,استراتيجيَّةُ التَّعَلُّمِ التَّنافُسيِّ  التَّعَلُّمُ عن طريق خِداعِ النَّمُوذَجِ الذي لدينا من خِلالِ نوعيَّةِ بياناتِ الدَّخلِ.,https://aiinarabic.com/glossary/adversarial-learning-strategy/
Agglomerative Hierarchical,التجميع الهرميّ من الأسفل إلى الأعلى,https://aiinarabic.com/glossary/agglomerative-hierarchical/
Anchor Boxes,صناديقُ الارتكازِ,https://aiinarabic.com/glossary/anchor-boxes/
Anomaly Detection,كشفُ الحالاتِ الشَّاذَّةِ,https://aiinarabic.com/glossary/anomaly-detection/
Artificial Intelligence,الذَّكاءُ الاصطِناعيُّ,https://aiinarabic.com/glossary/artificial-intelligence/
Attention Mechanism,آليَّةُ الاهتمامِ,https://aiinarabic.com/glossary/attention-mechanism/
AutoEncoder,المُرمّز التلقائي,https://aiinarabic.com/glossary/autoencoder/
Autoencoder Transformers,المحوّلات ذات المرمّز التّلقائي,https://aiinarabic.com/glossary/autoencoder-transformers/
Auxiliar Head,الرّأس المُساعد,https://aiinarabic.com/glossary/auxiliar-head/
Auxiliary Loss,الخسارةُ المُساعِدةُ  inception) كما هو الحالُ في شَبَكَة (Softmax تَعاني الشَّبَكَاتُ العمِيقةُ مُشكِلةَ خفضِ/ تناقُصِ المُشتقِّ حتى الانعدام. إحدى طُرُقِ حلِّ هذه المُشكِلةِ هي الاستِعانةُ بمُصنَّفاتٍ مُساعِدةٍ تُوضعُ في مُنتصفِ الشَّبَكَة ولها تابعُ تفعيلٍ، يقومُ كلُّ مُصنَّفٍ من هذه المُصنَّفاتِ بتقليلِ الخسارةِ الخاصَّةِ به التي تُسمَّى الخسارةُ المُساعِدةُ. ويكونُ تابِعُ الخسارةِ الكُلِّيِّ للشَّبَكَةِ الأصلِيَّةِ هو مجموعُ الخسارةِ الأصليَّةِ والخساراتِ المُساعِدةِ.,https://aiinarabic.com/glossary/auxiliary-loss/
Average Pooling,تجميعٌ وفقَ القيمةِ المُتوسِّطةِ,https://aiinarabic.com/glossary/average-polling/
Backpropagation,الانتشارُ الخلفيُّ,https://aiinarabic.com/glossary/backpropagation/
Backward Chaining,التَّسلسلُ الخَلفيّ,https://aiinarabic.com/glossary/backward-chaining/
Bag of Words (BOW),حقيبة الكلمات,https://aiinarabic.com/glossary/bag-of-words-bow-2/
Bagging,التّجميع,https://aiinarabic.com/glossary/bagging/
Batch,الدُّفعَةُ,https://aiinarabic.com/glossary/batch/
Batch Normalization,تقييسُ الدُّفعَةِلا تكونُ قِيَمُ مِيزاتِ البياناتِ المُرادُ استخدامُها في التَّدريبِ - في كثيرٍ من الأحيانِ - ضِمنَ مجالٍ واحدٍ، فمثلًا: قد تمتلِكُ مِيزةُ العُمرِ قِيَمًا ضِمنَ 0-100، وتمتلِكُ مِيزةٌ أُخرى كالرَّاتبِ قِيمًا ضِمنَ مجالٍ بالآلاف. ومن ثَمَّ تُطَبَّقُ عملِيَّةُ تقييسٍ لجميعِ قِيَمِ الدُّفعَةِ الواحدةِ لتكونَ ضِمنَ مجالٍ مُعيَّنٍ، أي حتى تمتلِكَ توزُّعًا واحدًا. وهذا يُحسِّنُ سُرعةَ الشَّبَكَاتِ العُصبُونِيَّةِ وأدائها واستقرارِها.,https://aiinarabic.com/glossary/batch-normalization/
Bayesian Regression,الانحدار الافتراضي/الانحدار البايزي,https://aiinarabic.com/glossary/bayesian-regression/
Beam Search,البحث الشّعاعي,https://aiinarabic.com/glossary/beam-search/
BERT,مُحوّل بيرت,https://aiinarabic.com/glossary/bert/
Bias,الانحياز,https://aiinarabic.com/glossary/bias/
Binary Cross-Entropy,الإنتروبيا المُتقاطِعةُ الثُّنائيَّةُ,https://aiinarabic.com/glossary/binary-cross-entropy/
Bitwise-and,عمليّة الجِّداء المنطقيّ على مُستوى البِت,https://aiinarabic.com/glossary/bitwise-and/
BLEU,معيار تقييم التطابق ثنائي اللغة,https://aiinarabic.com/glossary/bleu/
Boosting,تقّوية,https://aiinarabic.com/glossary/boosting/
Bounding Box,مُرَبَّعُ إحاطةٍ,https://aiinarabic.com/glossary/bounding-box/
Boxplot,المخطّط الصندوقي,https://aiinarabic.com/glossary/boxplot/
Caffe,كافيه,https://aiinarabic.com/glossary/caffe/
Categorical Cross-Entropy,الانتروبيا المتقاطعة الفئويّة,https://aiinarabic.com/glossary/categorical-cross-entropy/
CBOW,حقيبة الكلمات المستمرّة,https://aiinarabic.com/glossary/cbow/
Chain-of-Thought (CoT),سلسلة التّفكير,https://aiinarabic.com/glossary/chain-of-thought-cot/
