English,French,German,Arabic
%1 (%2),%1 (%2),%1 (%2),‏%1 (%2)
%1:,%1 :,%1:,%1:
Aztec,Aztec,Aztec,بركود Aztec
Call,Appel,Anrufen,اتصل
Change the QR code type,Modifier le type du code « QR »,Den QR-Code-Typ ändern,"غيّر نوع ""باركود"""
Contact,Contact,Kontakt,المتراسل
Contacts,Contacts,Kontakte,المتراسلون
Creating QR code failed,La création du code « QR » a échoué.,Das Erstellen des QR-Codes ist fehlgeschlagen,فشل إنشاء باركود
Data Matrix,Matrice de données,Datenmatrix,رمز مصفوفي
Nickname: %1,Pseudonyme : %1,Spitzname: %1,الاسم المستعار: %1
QR Code,Code « QR »,QR-Code,رمز QR
Return to Contact,Revenir au contact,Zurück zum Kontakt,ارجع إلى المتراسل
Return to Contact List,Revenir à la liste de contacts,Zurück zur Kontaktliste,ارجع إلى قائمة المراسلين
Send Email,Envoyer un courriel,E-Mail versenden,أرسل بريدًا
Send SMS,Envoyer un SMS,SMS senden,أرسل رسالة نصية قصيرة
Show QR Code,Afficher un code « QR »,QR-Code anzeigen,أظهر صورة QR
The QR code is too large to be displayed,Le code « QR » est trop grand pour être affiché.,"Der QR-Code ist zu groß, um angezeigt zu werden",البركود كبير بحيث لا يمكن عرضه
