english,arabic,url,arabic_description
Electronic Communication,اتصال إلكتروني,https://arabicglossary.dubaifuture.ae/ar/words/electronic-communication,اتصالات تجرى عبر أنظمة سلكية ولاسلكية مثل البريد الإلكتروني والرسائل النصية والفاكس والشبكات الاجتماعية.
Alpha testing,اختبار ألفا,https://arabicglossary.dubaifuture.ae/ar/words/alpha-testing,نوع من اختبار البرمجيات يجرى لكشف الأخطاء قبل إصدار البرمجيات للمستخدمين
Stop signal task,اختبار إشارة التوقف,https://arabicglossary.dubaifuture.ae/ar/words/stop-signal-task,هو اختبار لتثبيط الاستجابات القهرية. يتطلب من المشارك الاستجابة بأسرع ما يمكن لحافز محدد مسبقًا، وعدم إظهار أي استجابة عندما تُعرض إشارة التوقف.
Beta testing,اختبار بيتا,https://arabicglossary.dubaifuture.ae/ar/words/beta-testing,وهو تجربة البرمجيات أوليًا والتأكد من صحة عملها قبل دخولها مرحلة الإنتاج الصناعي الواسع والاستخدام.
Static test,اختبار ثبات,https://arabicglossary.dubaifuture.ae/ar/words/static-test,تقنية اختبار برمجية يتم من خلالها اختبار البرنامج دون تنفيذ الكود البرمجي.
Feature selection,اختيار المميزات,https://arabicglossary.dubaifuture.ae/ar/words/feature-selection,العملية التي يجري من خلالها اختيار مجموعة فرعية من الميزات أو المتغيرات المرتبطة ببعضها من مجموعة بيانات أكبر لوضع النماذج. وتسمى أيضًا تحديد المتغير أو تحديد السمة أو تحديد المجموعة الفرعية المتغيرة. وتركز العملية على اختيار الميزات التي تمثل مجموعة البيانات بدقة من خلال استبعاد البيانات الزائدة عن الحاجة وغير ذات الصلة. ويختلف ذلك عن استخلاص الميزات الذي يوجد ميزات جديدة كوظائف للميزة الأصلية
Knowledge extraction,استخراج المعرفة,https://arabicglossary.dubaifuture.ae/ar/words/knowledge-extraction,عملية اكتشاف الكيفية التي تستخدم بها مدخلات في شبكة عصبية اصطناعية لتشكيل مخرجات بما يتيح التثبت من صحة العلاقات الوظيفية في النموذج
"Extract, transform, and load (ETL)",استخراج وتحويل وتحميل,https://arabicglossary.dubaifuture.ae/ar/words/extract-transform-and-load,الإجراء العام لنسخ البيانات من مصدر واحد أو أكثر إلى الوجهة التي تمثل البيانات بشكل مختلف عن المصدر أو في سياق مختلف عن المصدر
Rendering,استخلاص (حوسبة),https://arabicglossary.dubaifuture.ae/ar/words/rendering,هي عملية إنشاء صورة واقعية أو غير واقعية من نموذج ثنائي الأبعاد أو ثلاثي الأبعاد باستخدام البرامج الحاسوبية..
Feature extraction,استخلاص المميزات,https://arabicglossary.dubaifuture.ae/ar/words/feature-extraction,عملية تختصر البيانات الأولية وتحولها إلى مجموعات أكثر قابلية للإدارة والمعالجة لتقليل موارد الحوسبة المطلوبة. ويتضمن استخلاص الميزات الأساليب التي تحدد المتغيرات في الميزات وتجمعها، ما يقلل كمية البيانات التي تحتاج للمعالجة. وتحافظ في الوقت ذاته على الوصف الدقيق للبيانات الأصلية.
Foresight,استشراف المستقبل,https://arabicglossary.dubaifuture.ae/ar/words/foresight,استشراف المستقبل هي طريقة منهجية للاستفادة من الفرص المستقبلية على المدى المتوسط إلى الطويل وتجنب مخاطرها، وذلك باتخاذ قرارات أفضل اليوم.
Terraform,استصلاح,https://arabicglossary.dubaifuture.ae/ar/words/terraform,مصطلح خيال علمي يتضمن تحويل أي كوكب إلى صورة مشابهة للأرض كي تدعم الحياة.
Semantic query,استفسار دلالي,https://arabicglossary.dubaifuture.ae/ar/words/semantic-query,يسمح بالاستفسارات والتحليلات ذات الطبيعة الترابطية والسياقية وتتيح استرجاع المعلومات المشتقة صراحةً وضمنيًا بناءً على المعلومات النحوية والدلالية والهيكلية الموجودة في البيانات.
Glowworm swarm optimization,استمثال أسراب سراج الليل,https://arabicglossary.dubaifuture.ae/ar/words/glowworm-swarm-optimization,خوارزمية استمثال حالية مستوحاة من الطبيعة، تحاكي سلوك سراج الليل. وهي مناسبة للبحث التزامُنيّ لعدة حلول وقِيَم دالة موضوعية متساوية أو غير متساوية. وتوجد عدة مراجعات تصف تطبيقاتها في مجالات مختلفة، منها العَنقَدة ومشكلات استمثال مختلفة.
Particle swarm Optimization,استمثال عناصر السرب,https://arabicglossary.dubaifuture.ae/ar/words/particle-swarm-optimization,طريقة حسابية تقدم الحل الأمثل لمشكلة من خلال تكرار محاولة تحسين أحد الحلول المرشحة وفق مقياس معين للجودة.
Cloud Seeding,استمطار,https://arabicglossary.dubaifuture.ae/ar/words/cloud-seeding,تقنية لتعديل الطقس لتغيير كمية هطول الأمطار أو نوعها من الغيوم من خلال نثر مواد معينة فيها لتعمل على تكثيف بخار الماء أو تصبح نواة لتشكل الثلج.
Data Ingestion,استيعاب البيانات,https://arabicglossary.dubaifuture.ae/ar/words/data-ingestion,نقل البيانات من مصادر مجمعة إلى وحدة تخزين يمكن الوصول إليها واستخدامها وتحليلها من خلال منظمة أخرى.
Decentralised Autonomous Organisation (DAO) proposals,اقتراحات المنظمة المستقلة اللامركزية,https://arabicglossary.dubaifuture.ae/ar/words/decentralised-autonomous-organisation-dao-proposals,الأفكار التي تطرح أمام أعضاء المنظمة للنظر فيها والتصويت عليها.
Gig economy,اقتصاد العمل المؤقت,https://arabicglossary.dubaifuture.ae/ar/words/gig-economy,النشاط الاقتصادي المعتمد على العمالة والعقود المرنة والمؤقتة، وقد يكون الدخل الناتج عن هذه الأعمال أساسياً أو تكميلياً.
Machines,الآلات,https://arabicglossary.dubaifuture.ae/ar/words/machines,الحواسيب أو الروبوتات المزودة بوحدات معالجة أو المتصلة بوحدات معالجة. يرجى الاطلاع على تعريف الذكاء الآلي المتقدم.
Autonomous machines,الآلات المستقلة,https://arabicglossary.dubaifuture.ae/ar/words/autonomous-machines,الآلات المستقلة آلات مبرمجة للعمل ذاتياً، تستطيع أداء مجموعة واسعة من المهام المعقدة دون الحاجة إلى أدوات تحكم أو أوامر خارجية.
