English,French,German,Arabic
About,À propos,Über,عن
Additional Information,Informations additionnelles,Zusätzliche Informationen,معلومات إضافية
Bookmark this page,Ajouter cette page aux signets,Ein Lesezeichen für diese Seite hinzufügen,علّم هذه الصفحة
Bookmarks,Signets,Lesezeichen,العلامات
Certificate File (*.cer),Fichier de certificat (*.cer),Zertifikatsdatei (*.cer),ملف شهادة (*.cer)
Certificate Viewer,Afficheur de certificats,Zertifikatsanzeige,عارض الشهادة
Close,Fermer,Schließen,أغلق
Common Name:,Nom usuel :,Allgemeiner Name:,الاسم الشّائع:
Could not export the certificate.,Impossible d'exporter le certificat.,Das Zertifikat kann nicht exportiert werden.,لا يمكن تصدير الشهادة
Could not save the signature.,Impossible d'enregistrer la signature.,Die Signatur kann nicht gespeichert werden.,لا يمكن حفظ التوقيع.
Document Modifications:,Modifications du document :,Änderungen am Dokument:,تعديلات المستند:
Document Revision %1 of %2,Révision %1 du document parmi %2,Dokumentversion %1 von %2,مراجعة المستند %1 من %2
Document Version,Version de document,Dokumentversion,إصدار المستند
EMail:,Courriel :,E-Mail:,البريد الإلكترونيّ:
Error,Erreur,Fehler,خطأ
Expires On:,Expire le :,Verfällt am:,تنتهي يوم:
Export…,Exporter...,Exportieren ...,صدر…
Fingerprints,Empreintes digitales,Fingerabdrücke,البصمات
Issued By,Créé par,Ausgestellt von,المانح
Issued On:,Créé le :,Ausgestellt am:,مُنحت يوم:
Issued To,Créé vers,Ausgestellt für,مُنحت لصالح
Location:,Emplacement :,Ort:,المكان:
No document open,Aucun document ouvert,Kein geöffnetes Dokument,لا يوجد المستند لفتحه
No results found.,Aucun résultat n'a été trouvé.,Keine Ergebnisse gefunden.,لا نتائج.
Not Available,Non disponible,Nicht verfügbar,غير متوفّر
Okular,Okular,Okular,اوكلار
Open...,Ouvrir...,Öffnen ...,افتح...
Organization:,Organisation :,Organisation:,المنظّمة:
Password Needed,Un mot de passe est requis.,Passwort benötigt,بحاجة إلى كلمة السر
Reason:,Raison :,Grund:,السبب:
Remove bookmark,Supprimer le signet,Lesezeichen entfernen,احذف العلامة
SHA-1 Fingerprint:,Empreinte digitale « SHA-1 » :,SHA-1-Fingerabdruck:,بصمة SHA-1:
SHA-256 Fingerprint:,Empreinte digitale « SHA-256 » :,SHA-256-Fingerabdruck:,بصمة SHA-256:
Save Signed Version…,Enregistrer la version signée...,Signierte Version speichern ...,احفظ الإصدارة الموقعة…
Signature Properties,Propriétés de signature,Signatur-Eigenschaften,خصائص التوقيع
Signature Validity:,Validité de la signature :,Gültigkeit der Signatur:,صلاحية التوقيع:
Signatures,Signatures,Signaturen,التواقيع
Signed By:,Signé par :,Signiert von:,وقّعها:
Signing Time:,Heure de signature :,Signatur-Datum:,وقت التوقيع:
Table of contents,Table des matières,Inhaltsverzeichnis,جدول المحتويات
Thumbnails,Vignettes,Vorschaubilder,المصغّرات
Validity,Validité,Gültigkeit,الصّلاحية
Validity Status,État de validité,Gültigkeitsstatus,حالة الصلاحية
View Certificate…,Afficher le certificat...,Zertifikat ansehen ...,اعرض الشهادة…
