Number,Arabic,English
1,نظام تشغيل ذو 16 بتا,16-bit Operating System
2,صوت ذو 16 بتا,16-bit sound
3,شبكة جوالات من الجيل الأول,1G mobile network
4,23B+D [الواجهة],23B+D
5,2B+D [الواجهة],2B+D
6,2B1Q [تعديل],2B1Q
7,مسرع ببعدين,2D accelerator
8,شبكة جوالات من الجيل الثاني,2G mobile network
9,2G+ شبكة جوالات من الجيل,2G+mobile network
10,عنونة IP ذات 32 بتا,32-bit IP addressing
11,رقاقات ذاكرة ذات 32 بتا,32-bit memory chips
12,نظام تشغيل ذو 32 بتا,32-bit operating system
13,مسرع ثلاثي الأبعاد,3D accelerator
14,هاتف 3G (من الجيل الثالث),3G phone
15,لاسلكي من الجيل الثالث,3G wireless
16,الخطأ 404,404 error
17,لاسلكي من الجيل الرابع,4G wireless
18,رقاقة ذات 64 بتا,64-bit Chips
19,حوسبة ذات 64 بتا,64-bit computing
20,64QAM [تعديل],64QAM
21,[المعيار] 802,802
22,لون ذو 8 بتات,8-bit color
23,حركة سير مهجورة,abandoned traffic
24,عنوان مختصر,abbreviated address
25,مرجع خلية مطلق,absolute cell reference
26,تأخر مطلق,absolute delay
27,لاسلكي من الجيل الثالث,absolute link
28,[عنوان] URL مطلق,absolute URL
29,متجه مطلق,absolute vector
30,صف مجرد,abstract class
31,نوع معطيات مجرد,abstract data type
32,آلة مجردة,abstract machine
33,تركيب نحوي مجرد,abstract syntax
34,تدوين التركيب النحوي المجرد-الأول,Abstract Syntax Notation one
35,شجرة التركيب النحوي المجرد,abstract syntax tree
36,منفذ بيانيات مسرع (AGP),Accelerated Graphics Port
37,مسرع,accelerator
38,لوحة تسريع,accelerator board
39,سياسة استعمال مقبولة (AUP),Acceptable Use Policy
40,قبول,acceptance
41,اختبار القبول,acceptance test
42,نفاذ,access
43,ذراع النفاذ,access arm
44,[معيار] مسرى النفاذ,access bus
45,قناة النفاذ,access channel
46,أجرة النفاذ,access charge
47,دارة النفاذ,access circuit
48,رماز النفاذ,access code
49,تنازع على النفاذ,access contention
50,تحكم في النفاذ,access control
51,قائمة التحكم في النفاذ (ACL),Access Control List
52,إخفاق النفاذ,access failure
53,مفتاح النفاذ,access key
54,مستوى النفاذ,access level
55,قائمة النفاذ,access list
56,آلية النفاذ,access mechanism
57,طريقة النفاذ,access method
58,رقم النفاذ,access number
59,منشئ النفاذ,access originator
60,مسار النفاذ,access path
61,طور النفاذ,access phase
62,امتيازات النفاذ,access privileges
63,ملامح النفاذ,access profile
64,حماية النفاذ,access protection
65,بروتوكول النفاذ,access protocol
66,معدل النفاذ,access rate
67,حقوق النفاذ,access rights
68,موجه النفاذ,access router
69,مخدم النفاذ,access server
70,خدمة النفاذ,access service
71,مدة النفاذ,access time
72,نوع النفاذ,access type
73,وحدة النفاذ,access unit
74,طلب النفاذ,access-request
75,حساب,account
76,ضوابط حسابات,account policy
77,اعتماد,accreditation
78,سلطة اعتماد,accrediting authority
79,مراكم,accumulator
80,ضبط,accuracy
81,[خاصية] (الذرية ، التساوق، العزل، الدوام) ACID,"ACID (Atomicity,Consistency,Isolation,Durability)"
82,محرف إشعار,acknowledge character
83,إشعار,acknowledgement
84,مدة تأخر الإشعار,acknowledgement delay period
85,قارن صوت,acoustic coupler
86,[برنامج] أكروابت,Acrobat
87,[برنامج] أكروابت ريدر,Acrobat Reader
88,تفعيل (تنشيط),activation
89,سجل تفعيل,activation record
