English,French,German,Arabic
Close Except,Fermer une exclusion,Schließen außer,أغلق ما عدا
Close Except/Like Plugin,Module externe de fermeture d'exclusion / d'inclusion,Modul zum bedingten Schließen,ملحقة إغلاق ما عدا/يشابه
Close Like,Fermer une inclusion,Schließen ähnlich,أغلق ما يشابه
Close files confirmation,Confirmation de fermeture des fichiers,Bestätigung zum Schließen von Dateien,تأكيد إغلاق الملفّات
Do not ask again,Ne plus poser la question,Diese Nachfrage nicht mehr anzeigen,لا تسأل مجدّدًا
Document,Document,Dokument,المستند
Done,Terminé,Fertig,تمّ
Error,Erreur,Fehler,خطأ
Location,Emplacement,Speicherort,المكان
No files to close ...,Aucun fichier à fermer...,Keine Dateien zu schließen ...,لا ملفّات لإغلاقها...
Show Confirmation,Afficher une confirmation,Bestätigung anzeigen,أظهر تأكيدًا
You are about to close the following documents:,Vous êtes sur le point de fermer les documents suivants :,"Sie sind gerade dabei, die folgenden Dokumente zu schließen:",أنت على وشك إغلاق المستندات الآتية:
