English,French,German,Arabic
%1 is now available.,%1 est maintenant disponible.,%1 ist jetzt verfügbar.,تتوفر %1 الآن.
Applying unattended updates…,Applications des mises à jour non prévues...,Unbeaufsichtigte Aktualisierungen werden angewendet ...,يطبق الآن التحديثات غير المراقبة ...
Click to restart the device,Cliquez pour re-démarrer le périphérique,"Klicken Sie, um den Rechner neu zu starten",انقر لتعيد تشغيل الجهاز
Computer needs to restart,L'ordinateur doit redémarrer,Der Rechner muss neu gestartet werden,الحاسوب بحاجة لإعادة تشغيل
Discover Notifier,Notificateur de Discover,Discover-Benachrichtigungen,مُخْطر المستكشف
Do not show the notifier,Ne pas afficher le notificateur,Benachrichtigungen nicht anzeigen,لا تظهر المُخْطر
Install Updates and Restart…,Installer les mises à jour et re-démarrer…,Aktualisierungen installieren und neu starten …,ثبت التحديثات وأعد التشغيل…
Install Updates and Shut Down…,Installer les mises à jour et éteindre...,Aktualisierungen installieren und herunterfahren …,ثبت التحديثات وأطفئ الجهاز…
Offline,Hors-ligne,Offline,غير متّصل
Open Discover…,Ouvrir Discover...,Discover öffnen ...,افتح المستكشف...
Refresh…,Rafraîchir...,Aktualisieren ...,أنعش...
Replace an existing instance,Remplacer une instance existante,Eine bestehende Instanz ersetzen,استبدل نسخة موجودة
Restart is required,Un redémarrage est nécessaire,Ein Neustart ist erforderlich,إعادة التّشغيل مطلوبة
Restart to apply installed updates,Ré-démarrer pour appliquer les mises à jour installées,Neustart um die installierten Aktualisierungen zu verwenden,أعد التشغيل لتطبق التحديثات المثبتة
Security updates available,Mises à jour de sécurité disponibles,Sicherheitskritische Aktualisierungen sind verfügbar,تتوفّر تحديثات أمنيّة
Start Update,Démarrer la mise à jour,Aktualisierung,ابدأ التحديث
System up to date,Système à jour,Das System ist auf dem neuesten Stand,النّظام محدّث
System update status notifier,Notificateur d'état des mises à jour du système,Statusbenachrichtigungen für Systemaktualisierungen,مُخْطر حالة تحديث النظام
The system needs to be restarted for the updates to take effect.,Le service a besoin d'être redémarré pour que les mises à jour soient prises en compte.,"Das System muss neu gestartet werden, damit die Aktualisierungen wirksam werden.",يجب إعادة تشغيل النظام لتأخذ التحديثات مفعولها.
Update and Restart,Mettre à jour et re-démarrer,Aktualisieren und neu starten,حدّث وأعد التّشغيل
Update and Shut Down,Mettre à jour et éteindre,Aktualisieren und neu starten,حدّث وأطفئ
Updates,Mises à jour,Aktualisierungen,التّحديثات
Updates available,Mises à jour disponibles,Verfügbare Aktualisierungen,تتوفّر تحديثات
Upgrade,Mise à niveau,Aktualisieren,رقِّ
Upgrade available,Mise à niveau disponible,Paketaktualisierung verfügbar,تتوفّر ترقية
View Updates,Afficher les mises à jour,Aktualisierungen ansehen,اعرض التحديثات
hidden,caché,Ausgeblendet,مخفي
