English,French,German,Arabic
Other...,Autre...,Weitere ...,غيرها...
Available actions:,Actions disponibles :,Verfügbare Aktionen:,الإجراءات المتوفّرة:
Automatically synchronize with current document,Synchroniser automatiquement avec le document actuel,Automatisch mit dem aktuellen Dokument abgleichen,زامن آليًّا مع المستند الحاليّ
Bookmarks,Signets,Lesezeichen,العلامات
Current Document Folder,Dossier actuel de documents,Aktueller Dokumentordner,مجلّد المستند الحاليّ
Enter a name filter to limit which files are displayed.,Saisissez un filtre de noms pour limiter le nombre de fichiers affichés.,"Geben Sie hier ein paar Buchstaben ein, um die Liste der angezeigten Dateien zu reduzieren.",أدحِل مرشّح أسماء لتحديد أيّ الملفّات ستُعرض.
Filesystem,Système de fichiers,Dateisystem,نظام الملفات
Filesystem Browser,Explorateur de systèmes de fichiers,Dateisystem-Browser,متصفّح نظام الملفّات
Filesystem Browser Settings,Paramètres de l'explorateur de systèmes de fichiers,Einstellungen für den Dateisystem-Browser,إعدادات متصفّح نظام الملفّات
Highlight current file,Mettre en valeur le fichier courant,Aktuelle Datei hervorheben,أبرِز الملف الحالي
Open All Files,Ouvrir tous les fichiers,Alle Dateien öffnen,افتح كل الملفّات
Open With,Ouvrir avec,Öffnen mit,افتح بواسطة
Options,Options,Optionen,الخيارات
Selected actions:,Actions sélectionnées :,Ausgewählte Aktionen:,الإجراءات المحدّدة:
Search,Rechercher,Suchen,ابحث
Toolbar,Barre d'outils,Werkzeugleiste,شريط الأدوات
